,Name,Household Income,Asian Amer.,Black Amer.,Hispanic Amer.,White Amer.,Other,state,Zipcode
2195,ZCTA5 07760,138917.0,121.0,113.0,365.0,8340.0,101.0,34,07760
2196,ZCTA5 07762,77500.0,125.0,175.0,209.0,7942.0,0.0,34,07762
2197,ZCTA5 07764,100000.0,62.0,293.0,586.0,7314.0,112.0,34,07764
2198,ZCTA5 07801,69028.0,991.0,1558.0,14968.0,15904.0,6399.0,34,07801
2199,ZCTA5 07803,84904.0,239.0,150.0,811.0,3020.0,76.0,34,07803
2200,ZCTA5 07820,-666666666.0,0.0,0.0,5.0,41.0,2.0,34,07820
2201,ZCTA5 07821,106515.0,191.0,39.0,510.0,9004.0,115.0,34,07821
2202,ZCTA5 07822,70156.0,99.0,0.0,40.0,508.0,0.0,34,07822
2203,ZCTA5 07823,60938.0,123.0,126.0,255.0,7407.0,21.0,34,07823
2204,ZCTA5 07825,91903.0,64.0,69.0,563.0,8898.0,71.0,34,07825
2205,ZCTA5 07826,81569.0,82.0,38.0,219.0,5755.0,31.0,34,07826
2206,ZCTA5 07827,69688.0,81.0,90.0,77.0,3805.0,10.0,34,07827
2207,ZCTA5 07828,77375.0,995.0,1004.0,2150.0,12599.0,231.0,34,07828
2208,ZCTA5 07830,124659.0,324.0,0.0,138.0,6352.0,0.0,34,07830
2209,ZCTA5 07832,86944.0,127.0,74.0,408.0,3738.0,9.0,34,07832
2210,ZCTA5 07833,-666666666.0,0.0,0.0,0.0,103.0,0.0,34,07833
2211,ZCTA5 07834,116273.0,1733.0,364.0,1195.0,15641.0,161.0,34,07834
2212,ZCTA5 07836,107128.0,919.0,545.0,1182.0,10034.0,139.0,34,07836
2213,ZCTA5 07838,107757.0,110.0,42.0,116.0,3194.0,17.0,34,07838
2214,ZCTA5 07840,77931.0,2155.0,1198.0,3662.0,25467.0,836.0,34,07840
2215,ZCTA5 07842,-666666666.0,0.0,0.0,10.0,87.0,10.0,34,07842
2216,ZCTA5 07843,78694.0,336.0,252.0,1239.0,10874.0,253.0,34,07843
2217,ZCTA5 07846,207969.0,0.0,0.0,34.0,46.0,0.0,34,07846
2218,ZCTA5 07847,108836.0,34.0,111.0,368.0,1227.0,214.0,34,07847
2219,ZCTA5 07848,78472.0,145.0,172.0,302.0,4571.0,10.0,34,07848
2220,ZCTA5 07849,87212.0,933.0,308.0,742.0,7823.0,27.0,34,07849
2221,ZCTA5 07850,91164.0,79.0,280.0,837.0,5439.0,138.0,34,07850
2222,ZCTA5 07851,101250.0,0.0,0.0,0.0,36.0,0.0,34,07851
2223,ZCTA5 07852,92792.0,460.0,284.0,268.0,3074.0,0.0,34,07852
2224,ZCTA5 07853,154135.0,331.0,131.0,343.0,12563.0,14.0,34,07853
2225,ZCTA5 07856,91563.0,210.0,297.0,393.0,3926.0,76.0,34,07856
2226,ZCTA5 07857,56016.0,132.0,176.0,370.0,2844.0,20.0,34,07857
2227,ZCTA5 07860,82716.0,308.0,595.0,2618.0,23603.0,850.0,34,07860
2228,ZCTA5 07863,85720.0,21.0,81.0,327.0,4052.0,25.0,34,07863
2229,ZCTA5 07865,118654.0,0.0,89.0,93.0,1861.0,9.0,34,07865
2230,ZCTA5 07866,102712.0,1485.0,1110.0,2686.0,19055.0,400.0,34,07866
2231,ZCTA5 07869,126290.0,2745.0,696.0,2516.0,21141.0,455.0,34,07869
2232,ZCTA5 07870,-666666666.0,0.0,0.0,0.0,30.0,0.0,34,07870
2233,ZCTA5 07871,131813.0,590.0,485.0,1369.0,18894.0,190.0,34,07871
2234,ZCTA5 07874,90613.0,239.0,159.0,680.0,7413.0,125.0,34,07874
2235,ZCTA5 07876,124854.0,407.0,404.0,764.0,9515.0,77.0,34,07876
2236,ZCTA5 07878,106481.0,0.0,63.0,0.0,723.0,0.0,34,07878
2237,ZCTA5 07880,132054.0,0.0,0.0,153.0,240.0,0.0,34,07880
2238,ZCTA5 07881,-666666666.0,0.0,0.0,0.0,6.0,0.0,34,07881
2239,ZCTA5 07882,90304.0,401.0,704.0,1121.0,13396.0,125.0,34,07882
2240,ZCTA5 07885,79222.0,855.0,90.0,3863.0,7252.0,2073.0,34,07885
2241,ZCTA5 07901,128097.0,1962.0,781.0,3478.0,19067.0,1277.0,34,07901
2242,ZCTA5 07920,135365.0,5216.0,556.0,1453.0,20398.0,298.0,34,07920
2243,ZCTA5 07921,104328.0,563.0,92.0,575.0,6876.0,109.0,34,07921
2244,ZCTA5 07922,146674.0,1548.0,218.0,697.0,10669.0,33.0,34,07922
2245,ZCTA5 07924,150246.0,340.0,2.0,1053.0,6782.0,574.0,34,07924
2246,ZCTA5 07926,-666666666.0,0.0,0.0,0.0,7.0,0.0,34,07926
2247,ZCTA5 07927,106458.0,575.0,106.0,445.0,3279.0,22.0,34,07927
2248,ZCTA5 07928,173929.0,1843.0,349.0,1212.0,16796.0,61.0,34,07928
2249,ZCTA5 07930,138328.0,374.0,69.0,667.0,7549.0,149.0,34,07930
2250,ZCTA5 07931,186571.0,100.0,87.0,155.0,2884.0,44.0,34,07931
2251,ZCTA5 07932,122843.0,1152.0,261.0,606.0,8722.0,0.0,34,07932
2252,ZCTA5 07933,142542.0,225.0,68.0,143.0,3001.0,30.0,34,07933
2253,ZCTA5 07934,150250.0,11.0,0.0,116.0,1643.0,57.0,34,07934
2254,ZCTA5 07935,-666666666.0,0.0,0.0,0.0,230.0,0.0,34,07935
2255,ZCTA5 07936,121769.0,1466.0,92.0,1624.0,9463.0,10.0,34,07936
2256,ZCTA5 07939,-666666666.0,9.0,77.0,28.0,109.0,0.0,34,07939
2257,ZCTA5 07940,128116.0,1203.0,810.0,1681.0,14517.0,211.0,34,07940
2258,ZCTA5 07945,171571.0,243.0,83.0,484.0,8461.0,36.0,34,07945
2259,ZCTA5 07946,152750.0,116.0,0.0,94.0,3046.0,0.0,34,07946
2260,ZCTA5 07950,120095.0,3622.0,583.0,1292.0,14560.0,50.0,34,07950
2261,ZCTA5 07960,114844.0,2442.0,2788.0,8079.0,36467.0,2050.0,34,07960
2262,ZCTA5 07961,-666666666.0,0.0,0.0,0.0,0.0,0.0,34,07961
2263,ZCTA5 07970,233750.0,36.0,0.0,106.0,132.0,0.0,34,07970
2264,ZCTA5 07974,146776.0,1508.0,127.0,1022.0,10273.0,69.0,34,07974
