,Name,Household Income,Asian American,Black American,Hispanic American,White American,Other,state,Zip Code
15208,ZCTA5 07934,149688.0,11.0,0.0,50.0,1526.0,43.0,34,07934
15209,ZCTA5 07935,130446.0,0.0,0.0,0.0,289.0,0.0,34,07935
15210,ZCTA5 07936,105625.0,1482.0,19.0,1175.0,9469.0,15.0,34,07936
15211,ZCTA5 07939,-666666666.0,8.0,91.0,28.0,111.0,0.0,34,07939
15212,ZCTA5 07940,120304.0,1023.0,1006.0,1779.0,14612.0,182.0,34,07940
15213,ZCTA5 07945,164120.0,300.0,96.0,416.0,8422.0,77.0,34,07945
15214,ZCTA5 07946,143550.0,114.0,1.0,71.0,2986.0,0.0,34,07946
15215,ZCTA5 07950,115137.0,3549.0,549.0,1062.0,14833.0,62.0,34,07950
15216,ZCTA5 07960,104100.0,1970.0,3115.0,8073.0,36587.0,1803.0,34,07960
15217,ZCTA5 07961,-666666666.0,0.0,0.0,0.0,0.0,0.0,34,07961
15218,ZCTA5 07970,250001.0,17.0,0.0,83.0,147.0,0.0,34,07970
15219,ZCTA5 07974,145607.0,1381.0,90.0,976.0,10316.0,80.0,34,07974
15220,ZCTA5 07976,113580.0,0.0,0.0,37.0,586.0,0.0,34,07976
15221,ZCTA5 07977,48289.0,15.0,42.0,180.0,488.0,52.0,34,07977
15222,ZCTA5 07979,175556.0,18.0,13.0,4.0,477.0,0.0,34,07979
15223,ZCTA5 07980,100688.0,436.0,0.0,241.0,1853.0,0.0,34,07980
15224,ZCTA5 07981,115133.0,1269.0,21.0,585.0,7728.0,34.0,34,07981
15225,ZCTA5 08001,68050.0,0.0,105.0,34.0,868.0,16.0,34,08001
15226,ZCTA5 08002,75895.0,2760.0,1522.0,2332.0,16189.0,1082.0,34,08002
15227,ZCTA5 08003,115564.0,4745.0,2024.0,1141.0,22268.0,402.0,34,08003
15228,ZCTA5 08004,80606.0,76.0,1282.0,721.0,9842.0,366.0,34,08004
15229,ZCTA5 08005,64907.0,185.0,1304.0,1836.0,20808.0,472.0,34,08005
15230,ZCTA5 08006,70938.0,1.0,0.0,0.0,422.0,0.0,34,08006
15231,ZCTA5 08007,59828.0,21.0,117.0,228.0,4865.0,49.0,34,08007
15232,ZCTA5 08008,80372.0,34.0,38.0,47.0,6581.0,0.0,34,08008
15233,ZCTA5 08009,83428.0,307.0,1167.0,790.0,10956.0,408.0,34,08009
15234,ZCTA5 08010,62541.0,408.0,3230.0,1329.0,6675.0,548.0,34,08010
15235,ZCTA5 08011,-666666666.0,0.0,0.0,0.0,62.0,0.0,34,08011
15236,ZCTA5 08012,70316.0,1358.0,4550.0,2838.0,32674.0,1056.0,34,08012
15237,ZCTA5 08014,98405.0,13.0,0.0,0.0,718.0,0.0,34,08014
15238,ZCTA5 08015,62423.0,533.0,3113.0,2437.0,14512.0,505.0,34,08015
15239,ZCTA5 08016,75885.0,2074.0,9682.0,2925.0,17970.0,836.0,34,08016
15240,ZCTA5 08019,87250.0,0.0,37.0,109.0,928.0,48.0,34,08019
15241,ZCTA5 08020,71393.0,0.0,56.0,51.0,2545.0,4.0,34,08020
15242,ZCTA5 08021,47134.0,1014.0,12272.0,7098.0,24721.0,4332.0,34,08021
15243,ZCTA5 08022,92379.0,1046.0,761.0,358.0,6809.0,73.0,34,08022
15244,ZCTA5 08023,54500.0,0.0,7.0,92.0,339.0,92.0,34,08023
15245,ZCTA5 08026,78824.0,4.0,43.0,56.0,2051.0,30.0,34,08026
15246,ZCTA5 08027,64289.0,48.0,149.0,42.0,4625.0,19.0,34,08027
15247,ZCTA5 08028,66875.0,522.0,3887.0,2041.0,14292.0,1184.0,34,08028
15248,ZCTA5 08029,54153.0,41.0,0.0,160.0,4013.0,11.0,34,08029
15249,ZCTA5 08030,55053.0,790.0,461.0,1512.0,10859.0,1091.0,34,08030
15250,ZCTA5 08031,47569.0,1024.0,182.0,1085.0,9469.0,668.0,34,08031
15251,ZCTA5 08033,108521.0,338.0,197.0,565.0,15360.0,99.0,34,08033
15252,ZCTA5 08034,92109.0,1761.0,1218.0,1857.0,14347.0,947.0,34,08034
15253,ZCTA5 08035,85852.0,102.0,193.0,249.0,7131.0,130.0,34,08035
15254,ZCTA5 08036,94873.0,322.0,694.0,218.0,4689.0,0.0,34,08036
15255,ZCTA5 08037,67382.0,219.0,1010.0,3942.0,20511.0,1445.0,34,08037
15256,ZCTA5 08038,49167.0,0.0,0.0,0.0,57.0,0.0,34,08038
15257,ZCTA5 08039,68684.0,0.0,0.0,68.0,110.0,0.0,34,08039
15258,ZCTA5 08041,106667.0,0.0,74.0,135.0,928.0,39.0,34,08041
15259,ZCTA5 08042,150875.0,0.0,0.0,0.0,118.0,0.0,34,08042
15260,ZCTA5 08043,82563.0,5727.0,2763.0,993.0,19786.0,291.0,34,08043
15261,ZCTA5 08045,58523.0,51.0,2446.0,164.0,130.0,97.0,34,08045
15262,ZCTA5 08046,67500.0,442.0,21785.0,3360.0,6438.0,980.0,34,08046
15263,ZCTA5 08048,84049.0,498.0,2216.0,640.0,8938.0,227.0,34,08048
15264,ZCTA5 08049,57566.0,96.0,780.0,548.0,4346.0,249.0,34,08049
15265,ZCTA5 08050,72773.0,364.0,531.0,2127.0,23464.0,137.0,34,08050
15266,ZCTA5 08051,76980.0,241.0,569.0,262.0,9657.0,0.0,34,08051
15267,ZCTA5 08052,58472.0,1203.0,1746.0,2065.0,14738.0,958.0,34,08052
15268,ZCTA5 08053,90315.0,2677.0,2159.0,2237.0,39253.0,717.0,34,08053
15269,ZCTA5 08054,87958.0,3680.0,3816.0,1918.0,32599.0,690.0,34,08054
15270,ZCTA5 08055,112299.0,655.0,672.0,1041.0,25105.0,395.0,34,08055
15271,ZCTA5 08056,155612.0,256.0,262.0,97.0,3903.0,0.0,34,08056
15272,ZCTA5 08057,125561.0,1472.0,1608.0,228.0,17255.0,62.0,34,08057
15273,ZCTA5 08059,66969.0,14.0,279.0,128.0,5232.0,23.0,34,08059
15274,ZCTA5 08060,78420.0,1068.0,5289.0,2482.0,15709.0,687.0,34,08060
